window_size,n_queries,median_error_m,mean_error_m,max_error_m,correct_bench_rate,correct_seat_rate,n_test
1,9900,1.67877217036738,2.164402423615515,11.745313959192409,0.2725252525252525,0.12656565656565658,9900
5,2079,1.174,1.003448354207868,7.368045873907138,0.5805675805675806,0.3795093795093795,2079
10,1089,0.0,0.7113848351248341,7.368045873907138,0.7235996326905417,0.5362718089990818,1089
15,693,0.0,0.37576436699070154,3.242,0.8556998556998557,0.7027417027417028,693
20,594,0.0,0.5289001691840162,7.368045873907138,0.8265993265993266,0.7104377104377104,594
25,495,0.0,0.5348753595453999,7.368045873907138,0.8282828282828283,0.7313131313131314,495
30,396,0.0,0.20103216012965222,3.242,0.9141414141414141,0.8459595959595959,396
40,297,0.0,0.10123752303277699,1.678772170367379,0.9764309764309764,0.9124579124579124,297
50,297,0.0,0.7090892573222158,7.368045873907138,0.7777777777777778,0.696969696969697,297
